task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
6	33/c042ee	59905640	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	COMPLETED	0	2025-09-03 01:01:16.647	15.4s	0ms	36.5%	1.3 MB	11 MB	72.7 KB	9.1 KB
5	d3/fc2a18	59905641	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	COMPLETED	0	2025-09-03 01:01:16.973	15.1s	0ms	32.0%	1.5 MB	4.3 MB	137.6 KB	12.1 KB
17	c1/b8520e	59905638	NFCORE_SAREK:SAREK:FASTP (Sample1-Lane1)	COMPLETED	0	2025-09-03 01:01:11.333	55.8s	36s	1003.0%	1.7 GB	2.7 GB	3.4 GB	3.2 GB
21	00/ce1847	59905642	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_16146120-32867130)	COMPLETED	0	2025-09-03 01:01:32.626	54.5s	0ms	46.8%	1.5 MB	4.3 MB	126.7 KB	3.7 KB
24	8d/e68959	59905643	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37235253-37240944)	COMPLETED	0	2025-09-03 01:01:32.928	54.2s	0ms	48.4%	1.5 MB	4.3 MB	126.6 KB	3.7 KB
22	7d/22907b	59905645	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_238904048-242183529)	COMPLETED	0	2025-09-03 01:01:33.524	58.6s	0ms	41.3%	1.5 MB	4.3 MB	126.6 KB	3.9 KB
26	3f/56c59d	59905646	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr7_58169654-60828234)	COMPLETED	0	2025-09-03 01:01:33.820	58.3s	0ms	35.9%	1.5 MB	4.3 MB	126.7 KB	3.7 KB
23	40/5ee0ed	59905644	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_10001-1429358)	COMPLETED	0	2025-09-03 01:01:33.226	58.9s	0ms	36.1%	1.7 MB	5.7 MB	126.7 KB	3.7 KB
27	38/3ae5bb	59905648	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr10_39590436-39593013)	COMPLETED	0	2025-09-03 01:01:34.456	57.6s	0ms	38.1%	1.7 MB	5.7 MB	126.7 KB	3.7 KB
25	85/982ccb	59905647	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr15_20729747-21193490)	COMPLETED	0	2025-09-03 01:01:34.146	58s	0ms	51.4%	1.5 MB	4.3 MB	126.9 KB	3.8 KB
30	58/c94fae	59905649	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_190173122-190204555)	COMPLETED	0	2025-09-03 01:01:34.750	57.4s	0ms	42.2%	1.5 MB	4.3 MB	126.9 KB	3.9 KB
29	dd/84d844	59905652	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr20_36314720-64334167)	COMPLETED	0	2025-09-03 01:02:27.422	59.7s	1s	47.9%	1.5 MB	4.3 MB	128.1 KB	4.3 KB
32	8d/9ef1de	59905654	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr6_95070791-167591393)	COMPLETED	0	2025-09-03 01:02:32.386	59.7s	0ms	100.0%	1.5 MB	4.3 MB	126.5 KB	3.6 KB
