task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
7	35/7b7d85	59905041	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	COMPLETED	0	2025-09-02 17:18:06.034	50.6s	0ms	37.4%	1.3 MB	11 MB	72.7 KB	9.1 KB
20	92/d97ce7	59905040	NFCORE_SAREK:SAREK:FASTP (Sample2-Lane1)	COMPLETED	0	2025-09-02 17:18:02.819	1m 29s	36s	1011.4%	1.6 GB	2.6 GB	3.4 GB	3.2 GB
21	2f/e3266f	59905035	NFCORE_SAREK:SAREK:FASTP (Sample3-Lane1)	COMPLETED	0	2025-09-02 17:18:01.310	1m 30s	33s	992.2%	1.7 GB	2.7 GB	3 GB	2.8 GB
17	6c/4a9ec5	59905037	NFCORE_SAREK:SAREK:FASTP (Sample1-Lane1)	COMPLETED	0	2025-09-02 17:18:01.924	1m 40s	41s	978.8%	1.7 GB	2.6 GB	4.5 GB	3.6 GB
13	c7/e8d6bf	59905042	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	COMPLETED	0	2025-09-02 17:18:06.344	1m 50s	0ms	53.0%	1.5 MB	4.3 MB	137.6 KB	12.1 KB
27	ad/cf0233	59905045	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_10001-1429358)	COMPLETED	0	2025-09-02 17:18:57.167	59.5s	0ms	42.9%	2.2 MB	12.9 MB	126.7 KB	3.7 KB
28	39/fefa18	59905046	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37235253-37240944)	COMPLETED	0	2025-09-02 17:18:57.463	59.2s	0ms	49.9%	1.5 MB	4.3 MB	126.6 KB	3.7 KB
26	48/ee78da	59905047	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_238904048-242183529)	COMPLETED	0	2025-09-02 17:18:57.758	58.9s	0ms	37.4%	1.5 MB	4.3 MB	126.6 KB	3.9 KB
30	f1/81befe	59905051	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr7_58169654-60828234)	COMPLETED	0	2025-09-02 17:19:32.249	1m 24s	0ms	44.9%	2.5 MB	13.6 MB	126.7 KB	3.7 KB
33	db/33d275	59905052	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr20_36314720-64334167)	COMPLETED	0	2025-09-02 17:19:43.211	1m 13s	0ms	55.8%	1.5 MB	4.3 MB	128.1 KB	4.3 KB
25	89/2d4fed	59905053	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_16146120-32867130)	COMPLETED	0	2025-09-02 17:19:56.946	59.7s	0ms	57.3%	1.5 MB	4.3 MB	126.7 KB	3.7 KB
32	a8/54fe7a	59905050	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr8_44033745-45877265)	COMPLETED	0	2025-09-02 17:19:31.934	1m 25s	0ms	59.9%	1.5 MB	4.3 MB	126.5 KB	3.6 KB
22	a9/816520	59905039	NFCORE_SAREK:SAREK:FASTQC (Sample3-Lane1)	COMPLETED	0	2025-09-02 17:18:02.522	3m 9s	2m 16s	193.9%	1.7 GB	7.1 GB	3 GB	4 MB
19	36/e61876	59905036	NFCORE_SAREK:SAREK:FASTQC (Sample2-Lane1)	COMPLETED	0	2025-09-02 17:18:01.628	3m 40s	2m 44s	186.6%	1.7 GB	7.1 GB	3.4 GB	4 MB
18	e8/c7eaff	59905038	NFCORE_SAREK:SAREK:FASTQC (Sample1-Lane1)	COMPLETED	0	2025-09-02 17:18:02.221	3m 44s	2m 50s	199.6%	1.6 GB	7.1 GB	4.5 GB	3.9 MB
31	f9/d7ccbc	59905054	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr10_39590436-39593013)	COMPLETED	0	2025-09-02 17:19:57.251	1m 59s	0ms	52.7%	1.5 MB	4.3 MB	126.7 KB	3.7 KB
29	93/a0247c	59905055	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr15_20729747-21193490)	COMPLETED	0	2025-09-02 17:19:57.549	1m 59s	0ms	48.4%	1.5 MB	4.3 MB	126.9 KB	3.8 KB
35	d5/09a321	59905056	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr5_139453660-155760324)	COMPLETED	0	2025-09-02 17:19:57.845	1m 59s	0ms	62.4%	1.5 MB	4.3 MB	126.6 KB	3.7 KB
37	38/0b9d99	59905061	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr17_60001-448188)	COMPLETED	0	2025-09-02 17:20:57.244	59.4s	0ms	54.8%	1.5 MB	4.3 MB	127.1 KB	3.8 KB
34	e8/259cfd	59905060	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_190173122-190204555)	COMPLETED	0	2025-09-02 17:20:56.946	59.7s	0ms	48.4%	1.5 MB	4.3 MB	126.9 KB	3.9 KB
41	a3/632a9f	59905063	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_10001-207666)	COMPLETED	0	2025-09-02 17:20:57.835	58.9s	1s	43.3%	1.5 MB	5.2 MB	126.6 KB	3.5 KB
40	f8/7c82bf	59905062	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrX_37285838-49348394)	COMPLETED	0	2025-09-02 17:20:57.542	59.1s	0ms	51.8%	1.5 MB	4.3 MB	126.7 KB	3.7 KB
38	03/d4da14	59905065	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_122026460-124977944)	COMPLETED	0	2025-09-02 17:21:11.944	1m 45s	1s	52.9%	1.5 MB	4.3 MB	126.6 KB	3.7 KB
